quarter,series,region,label,value
2015Q1,all,Akmola,Ақмола,34401.0
2015Q1,all,Aktobe,Ақтөбе,27241.0
2015Q1,all,Almaty oblast,Алматы,15699.0
2015Q1,all,Atyrau,Атырау,25994.0
2015Q1,all,West Kazakhstan,Батыс Қазақстан,17389.0
2015Q1,all,Zhambyl,Жамбыл,4190.0
2015Q1,all,Karaganda,Қарағанды,37785.0
2015Q1,all,Kostanay,Қостанай,20995.0
2015Q1,all,Kyzylorda,Қызылорда,27229.0
2015Q1,all,Mangistau,Маңғыстау,12750.0
2015Q1,all,Pavlodar,Павлодар,8127.0
2015Q1,all,North Kazakhstan,Солтүстік Қазақстан,20401.0
2015Q1,all,East Kazakhstan,Шығыс Қазақстан,17084.0
2015Q1,all,Astana,Астана қаласы,4806.0
2015Q1,all,Almaty city,Алматы қаласы,10251.0
2015Q1,urban,Akmola,Ақмола,40430.0
2015Q1,urban,Aktobe,Ақтөбе,25707.0
2015Q1,urban,Almaty oblast,Алматы,15422.0
2015Q1,urban,Atyrau,Атырау,33943.0
2015Q1,urban,West Kazakhstan,Батыс Қазақстан,19342.0
2015Q1,urban,Zhambyl,Жамбыл,7351.0
2015Q1,urban,Karaganda,Қарағанды,36235.0
2015Q1,urban,Kostanay,Қостанай,24442.0
2015Q1,urban,Kyzylorda,Қызылорда,47117.0
2015Q1,urban,Mangistau,Маңғыстау,12671.0
2015Q1,urban,Pavlodar,Павлодар,5429.0
2015Q1,urban,North Kazakhstan,Солтүстік Қазақстан,28594.0
2015Q1,urban,East Kazakhstan,Шығыс Қазақстан,21592.0
2015Q1,urban,Astana,Астана қаласы,4806.0
2015Q1,urban,Almaty city,Алматы қаласы,10251.0
2015Q2,all,Akmola,Ақмола,34492.0
2015Q2,all,Aktobe,Ақтөбе,25188.0
2015Q2,all,Almaty oblast,Алматы,12251.0
2015Q2,all,Atyrau,Атырау,27040.0
2015Q2,all,West Kazakhstan,Батыс Қазақстан,18450.0
2015Q2,all,Zhambyl,Жамбыл,4718.0
2015Q2,all,Karaganda,Қарағанды,40008.0
2015Q2,all,Kostanay,Қостанай,20130.0
2015Q2,all,Kyzylorda,Қызылорда,28226.0
2015Q2,all,Mangistau,Маңғыстау,14024.0
2015Q2,all,Pavlodar,Павлодар,7480.0
2015Q2,all,North Kazakhstan,Солтүстік Қазақстан,20702.0
